problem,planner,implementation,succeeded,collision_free,seconds,joint_length,tool_length,smoothness,min_clearance_m
5,pilz ptp,moveit (c++),True,False,0.0004,6.0174,0.7468,6.247e-31,0.0801
5,pilz lin,moveit (c++),False,False,0.001,,,,
5,ompl rrtconnect,moveit (c++),True,True,0.0112,6.8679,0.7165,2.882e-05,0.0863
5,chomp,moveit (c++),True,True,0.4628,6.1106,0.4795,3.496e-06,0.0931
5,stomp,moveit (c++),False,False,5.027,,,,
6,joint interpolation,armik (python),True,False,0.0002,4.8345,0.8123,2.365e-31,0.01
6,cartesian interpolation,armik (python),False,False,1.7051,,,,
6,rrt connect,armik (python),True,True,0.4521,9.8855,3.1714,0.0005152,0.0776
6,pilz ptp,moveit (c++),True,False,0.0003,4.8345,0.8123,1.678e-31,0.01
6,pilz lin,moveit (c++),False,False,0.0008,,,,
6,ompl rrtconnect,moveit (c++),True,False,0.0259,8.9131,2.4174,0.0001806,0.0867
6,chomp,moveit (c++),True,True,0.3759,4.9995,0.835,5.569e-06,0.0867
6,stomp,moveit (c++),False,False,5.0015,,,,
7,joint interpolation,armik (python),True,False,0.0001,4.9664,1.4179,5.92e-31,0.1296
7,cartesian interpolation,armik (python),False,False,1.7002,,,,
7,rrt connect,armik (python),True,True,0.0458,5.3304,1.1985,1.517e-05,0.1296
